drugA	drugB	drugA_for_disease	drugB_for_disease	drugcomb	adv/app
DB00041	DB06403	False	True	('DB00041', 'DB06403')	1
DB00041	DB06762	False	True	('DB00041', 'DB06762')	1
DB00042	DB00765	False	True	('DB00042', 'DB00765')	1
DB00042	DB00657	False	True	('DB00042', 'DB00657')	1
DB00042	DB01116	False	True	('DB00042', 'DB01116')	1
DB00042	DB01018	False	True	('DB00042', 'DB01018')	1
DB00042	DB01626	False	True	('DB00042', 'DB01626')	1
DB00042	DB12661	False	True	('DB00042', 'DB12661')	1
DB00042	DB00575	False	True	('DB00042', 'DB00575')	1
DB00046	DB01626	False	True	('DB00046', 'DB01626')	1
DB00046	DB00559	False	True	('DB00046', 'DB00559')	1
DB00046	DB01119	False	True	('DB00046', 'DB01119')	1
DB00046	DB01180	False	True	('DB00046', 'DB01180')	1
DB00046	DB00575	False	True	('DB00046', 'DB00575')	1
DB00047	DB01119	False	True	('DB00047', 'DB01119')	1
DB00047	DB01626	False	True	('DB00047', 'DB01626')	1
DB00047	DB00559	False	True	('DB00047', 'DB00559')	1
DB00047	DB01180	False	True	('DB00047', 'DB01180')	1
DB00047	DB00575	False	True	('DB00047', 'DB00575')	1
DB00049	DB00325	False	True	('DB00049', 'DB00325')	1
DB00051	DB12945	False	True	('DB00051', 'DB12945')	1
DB00051	DB00575	False	True	('DB00051', 'DB00575')	1
DB00051	DB08931	False	True	('DB00051', 'DB08931')	1
DB00051	DB00559	False	True	('DB00051', 'DB00559')	1
DB00051	DB04840	False	True	('DB00051', 'DB04840')	1
DB00051	DB00590	False	True	('DB00051', 'DB00590')	1
DB00051	DB06403	False	True	('DB00051', 'DB06403')	1
DB00051	DB00820	False	True	('DB00051', 'DB00820')	1
DB00052	DB00968	False	True	('DB00052', 'DB00968')	1
DB00052	DB12945	False	True	('DB00052', 'DB12945')	1
DB00052	DB00575	False	True	('DB00052', 'DB00575')	1
DB00054	DB01626	False	True	('DB00054', 'DB01626')	1
DB00055	DB01626	False	True	('DB00055', 'DB01626')	1
DB00060	DB12945	False	True	('DB00060', 'DB12945')	1
DB00060	DB00575	False	True	('DB00060', 'DB00575')	1
DB00063	DB01626	False	True	('DB00063', 'DB01626')	1
DB00065	DB00968	False	True	('DB00065', 'DB00968')	1
DB00065	DB12945	False	True	('DB00065', 'DB12945')	1
DB00065	DB00575	False	True	('DB00065', 'DB00575')	1
DB00065	DB08931	False	True	('DB00065', 'DB08931')	1
DB00065	DB00559	False	True	('DB00065', 'DB00559')	1
DB00065	DB04840	False	True	('DB00065', 'DB04840')	1
DB00065	DB00590	False	True	('DB00065', 'DB00590')	1
DB00065	DB06403	False	True	('DB00065', 'DB06403')	1
DB00065	DB00820	False	True	('DB00065', 'DB00820')	1
DB00067	DB04840	False	True	('DB00067', 'DB04840')	1
DB00067	DB00657	False	True	('DB00067', 'DB00657')	1
DB00067	DB01116	False	True	('DB00067', 'DB01116')	1
DB00067	DB00968	False	True	('DB00067', 'DB00968')	1
DB00068	DB12945	False	True	('DB00068', 'DB12945')	1
DB00068	DB00575	False	True	('DB00068', 'DB00575')	1
DB00069	DB12945	False	True	('DB00069', 'DB12945')	1
DB00069	DB00575	False	True	('DB00069', 'DB00575')	1
DB00070	DB00217	False	True	('DB00070', 'DB00217')	1
DB00070	DB00575	False	True	('DB00070', 'DB00575')	1
DB00070	DB00968	False	True	('DB00070', 'DB00968')	1
DB00071	DB01626	False	True	('DB00071', 'DB01626')	1
DB00071	DB00559	False	True	('DB00071', 'DB00559')	1
DB00071	DB01119	False	True	('DB00071', 'DB01119')	1
DB00071	DB12945	False	True	('DB00071', 'DB12945')	1
DB00071	DB00575	False	True	('DB00071', 'DB00575')	1
DB00071	DB01180	False	True	('DB00071', 'DB01180')	1
DB00073	DB00217	False	True	('DB00073', 'DB00217')	1
DB00073	DB00325	False	True	('DB00073', 'DB00325')	1
DB00073	DB00350	False	True	('DB00073', 'DB00350')	1
DB00073	DB00457	False	True	('DB00073', 'DB00457')	1
DB00073	DB00559	False	True	('DB00073', 'DB00559')	1
DB00073	DB00575	False	True	('DB00073', 'DB00575')	1
DB00073	DB00590	False	True	('DB00073', 'DB00590')	1
DB00073	DB00657	False	True	('DB00073', 'DB00657')	1
DB00073	DB00765	False	True	('DB00073', 'DB00765')	1
DB00073	DB00820	False	True	('DB00073', 'DB00820')	1
DB00073	DB00968	False	True	('DB00073', 'DB00968')	1
DB00073	DB01018	False	True	('DB00073', 'DB01018')	1
DB00073	DB01089	False	True	('DB00073', 'DB01089')	1
DB00073	DB01116	False	True	('DB00073', 'DB01116')	1
DB00073	DB01119	False	True	('DB00073', 'DB01119')	1
DB00073	DB01170	False	True	('DB00073', 'DB01170')	1
DB00073	DB01180	False	True	('DB00073', 'DB01180')	1
DB00073	DB01275	False	True	('DB00073', 'DB01275')	1
DB00073	DB01626	False	True	('DB00073', 'DB01626')	1
DB00073	DB04840	False	True	('DB00073', 'DB04840')	1
DB00073	DB06403	False	True	('DB00073', 'DB06403')	1
DB00073	DB06762	False	True	('DB00073', 'DB06762')	1
DB00073	DB08931	False	True	('DB00073', 'DB08931')	1
DB00073	DB08932	False	True	('DB00073', 'DB08932')	1
DB00073	DB09206	False	True	('DB00073', 'DB09206')	1
DB00073	DB09242	False	True	('DB00073', 'DB09242')	1
DB00073	DB09363	False	True	('DB00073', 'DB09363')	1
DB00073	DB11738	False	True	('DB00073', 'DB11738')	1
DB00073	DB12661	False	True	('DB00073', 'DB12661')	1
DB00073	DB12945	False	True	('DB00073', 'DB12945')	1
DB00073	DB13211	False	True	('DB00073', 'DB13211')	1
DB00073	DB13410	False	True	('DB00073', 'DB13410')	1
DB00073	DB13429	False	True	('DB00073', 'DB13429')	1
DB00073	DB13435	False	True	('DB00073', 'DB13435')	1
DB00073	DB13452	False	True	('DB00073', 'DB13452')	1
DB00073	DB13575	False	True	('DB00073', 'DB13575')	1
DB00073	DB13604	False	True	('DB00073', 'DB13604')	1
DB00073	DB13631	False	True	('DB00073', 'DB13631')	1
DB00073	DB13779	False	True	('DB00073', 'DB13779')	1
DB00080	DB00325	False	True	('DB00080', 'DB00325')	1
DB00080	DB00657	False	True	('DB00080', 'DB00657')	1
DB00080	DB00820	False	True	('DB00080', 'DB00820')	1
DB00080	DB01018	False	True	('DB00080', 'DB01018')	1
DB00080	DB01170	False	True	('DB00080', 'DB01170')	1
DB00080	DB01275	False	True	('DB00080', 'DB01275')	1
DB00080	DB08932	False	True	('DB00080', 'DB08932')	1
DB00080	DB00968	False	True	('DB00080', 'DB00968')	1
DB00080	DB06403	False	True	('DB00080', 'DB06403')	1
DB00080	DB08931	False	True	('DB00080', 'DB08931')	1
DB00081	DB00325	False	True	('DB00081', 'DB00325')	1
DB00081	DB00657	False	True	('DB00081', 'DB00657')	1
DB00081	DB00820	False	True	('DB00081', 'DB00820')	1
DB00081	DB00968	False	True	('DB00081', 'DB00968')	1
DB00081	DB01018	False	True	('DB00081', 'DB01018')	1
DB00081	DB01170	False	True	('DB00081', 'DB01170')	1
DB00081	DB01275	False	True	('DB00081', 'DB01275')	1
DB00081	DB08932	False	True	('DB00081', 'DB08932')	1
DB00082	DB01116	False	True	('DB00082', 'DB01116')	1
DB00082	DB00657	False	True	('DB00082', 'DB00657')	1
DB00083	DB00765	False	True	('DB00083', 'DB00765')	1
DB00083	DB00657	False	True	('DB00083', 'DB00657')	1
DB00083	DB01116	False	True	('DB00083', 'DB01116')	1
DB00083	DB01018	False	True	('DB00083', 'DB01018')	1
DB00083	DB01626	False	True	('DB00083', 'DB01626')	1
DB00083	DB12661	False	True	('DB00083', 'DB12661')	1
DB00083	DB00575	False	True	('DB00083', 'DB00575')	1
DB00085	DB00325	False	True	('DB00085', 'DB00325')	1
DB00086	DB01626	False	True	('DB00086', 'DB01626')	1
DB00086	DB00325	False	True	('DB00086', 'DB00325')	1
DB00086	DB00350	False	True	('DB00086', 'DB00350')	1
DB00086	DB00457	False	True	('DB00086', 'DB00457')	1
DB00086	DB00575	False	True	('DB00086', 'DB00575')	1
DB00086	DB00590	False	True	('DB00086', 'DB00590')	1
DB00086	DB00657	False	True	('DB00086', 'DB00657')	1
DB00086	DB00968	False	True	('DB00086', 'DB00968')	1
DB00086	DB01018	False	True	('DB00086', 'DB01018')	1
DB00086	DB01119	False	True	('DB00086', 'DB01119')	1
DB00086	DB01275	False	True	('DB00086', 'DB01275')	1
DB00086	DB08931	False	True	('DB00086', 'DB08931')	1
DB00086	DB09242	False	True	('DB00086', 'DB09242')	1
DB00086	DB01180	False	True	('DB00086', 'DB01180')	1
DB00086	DB00217	False	True	('DB00086', 'DB00217')	1
DB00086	DB00559	False	True	('DB00086', 'DB00559')	1
DB00086	DB00765	False	True	('DB00086', 'DB00765')	1
DB00086	DB00820	False	True	('DB00086', 'DB00820')	1
DB00086	DB01089	False	True	('DB00086', 'DB01089')	1
DB00086	DB01116	False	True	('DB00086', 'DB01116')	1
DB00086	DB01170	False	True	('DB00086', 'DB01170')	1
DB00086	DB04840	False	True	('DB00086', 'DB04840')	1
